Date,Time,Press
3/11/2022,17:09:01,14.30
3/11/2022,17:09:02,14.30
3/11/2022,17:09:03,14.30
3/11/2022,17:09:04,14.30
3/11/2022,17:09:05,14.30
3/11/2022,17:09:06,14.31
3/11/2022,17:09:07,14.30
3/11/2022,17:09:08,14.30
3/11/2022,17:09:09,14.30
3/11/2022,17:09:10,14.30
3/11/2022,17:09:11,14.30
3/11/2022,17:09:12,14.30
3/11/2022,17:09:13,14.30
3/11/2022,17:09:14,14.30
3/11/2022,17:09:15,14.30
3/11/2022,17:09:16,14.30
3/11/2022,17:09:17,14.30
3/11/2022,17:09:18,14.30
3/11/2022,17:09:19,14.30
3/11/2022,17:09:20,14.30
3/11/2022,17:09:21,14.30
3/11/2022,17:09:22,14.30
3/11/2022,17:09:23,14.30
3/11/2022,17:09:24,14.30
3/11/2022,17:09:25,14.30
3/11/2022,17:09:26,14.30
3/11/2022,17:09:27,14.30
3/11/2022,17:09:28,14.30
3/11/2022,17:09:29,14.30
3/11/2022,17:09:30,14.30
3/11/2022,17:09:31,14.30
3/11/2022,17:09:37,14.30
3/11/2022,17:09:42,14.30
3/11/2022,17:09:47,14.30
3/11/2022,17:09:52,14.30
3/11/2022,17:09:57,14.30
3/11/2022,17:10:02,14.30
3/11/2022,17:10:07,14.30
3/11/2022,17:10:12,14.30
3/11/2022,17:10:17,14.30
3/11/2022,17:10:22,14.30
3/11/2022,17:10:27,14.30
3/11/2022,17:10:32,14.30
3/11/2022,17:10:37,14.30
3/11/2022,17:10:42,14.30
3/11/2022,17:10:47,14.30
3/11/2022,17:10:52,14.30
3/11/2022,17:10:57,14.30
3/11/2022,17:11:02,14.30
3/11/2022,17:11:07,14.30
3/11/2022,17:11:12,14.30
3/11/2022,17:11:17,14.30
3/11/2022,17:11:22,14.30
3/11/2022,17:11:27,14.30
3/11/2022,17:11:32,14.30
3/11/2022,17:11:37,14.30
3/11/2022,17:11:42,14.30
3/11/2022,17:11:47,14.30
3/11/2022,17:11:52,14.30
3/11/2022,17:11:57,14.30
3/11/2022,17:12:02,14.30
3/11/2022,17:12:07,14.30
3/11/2022,17:12:12,14.30
3/11/2022,17:12:17,14.30
3/11/2022,17:12:22,14.30
3/11/2022,17:12:27,14.30
3/11/2022,17:12:32,14.30
3/11/2022,17:12:37,14.30
3/11/2022,17:12:42,14.30
3/11/2022,17:12:47,14.30
3/11/2022,17:12:52,14.30
3/11/2022,17:12:57,14.30
3/11/2022,17:13:02,14.30
3/11/2022,17:13:07,14.30
3/11/2022,17:13:12,14.30
3/11/2022,17:13:17,14.30
3/11/2022,17:13:22,14.30
3/11/2022,17:13:27,14.30
3/11/2022,17:13:32,14.30
3/11/2022,17:13:37,14.30
3/11/2022,17:13:42,14.30
3/11/2022,17:13:47,14.30
3/11/2022,17:13:52,14.30
3/11/2022,17:13:57,14.30
3/11/2022,17:14:02,14.30
3/11/2022,17:14:07,14.30
3/11/2022,17:14:12,14.30
3/11/2022,17:14:17,14.30
3/11/2022,17:14:22,14.30
3/11/2022,17:14:27,14.30
3/11/2022,17:14:32,14.30
3/11/2022,17:14:37,14.30
3/11/2022,17:14:42,14.30
3/11/2022,17:14:47,14.30
3/11/2022,17:14:52,14.30
3/11/2022,17:14:57,14.30
3/11/2022,17:15:02,14.30
3/11/2022,17:15:07,14.30
3/11/2022,17:15:12,14.30
3/11/2022,17:15:17,14.30
3/11/2022,17:15:22,14.30
3/11/2022,17:15:27,14.30
3/11/2022,17:15:32,14.30
3/11/2022,17:15:37,14.30
3/11/2022,17:15:42,14.30
3/11/2022,17:15:47,14.30
3/11/2022,17:15:52,14.30
3/11/2022,17:15:57,14.30
3/11/2022,17:16:02,14.30
3/11/2022,17:16:07,14.30
3/11/2022,17:16:12,14.30
3/11/2022,17:16:17,14.30
3/11/2022,17:16:22,14.30
3/11/2022,17:16:27,14.30
3/11/2022,17:16:32,14.30
3/11/2022,17:16:37,14.30
3/11/2022,17:16:42,14.30
3/11/2022,17:16:47,14.30
3/11/2022,17:16:52,14.30
3/11/2022,17:16:57,14.30
3/11/2022,17:17:02,14.30
3/11/2022,17:17:07,14.30
3/11/2022,17:17:12,14.30
3/11/2022,17:17:17,14.30
3/11/2022,17:17:22,14.30
3/11/2022,17:17:27,14.30
3/11/2022,17:17:32,14.30
3/11/2022,17:17:37,14.30
3/11/2022,17:17:42,14.30
3/11/2022,17:17:47,14.30
3/11/2022,17:17:52,14.30
3/11/2022,17:17:57,14.30
3/11/2022,17:18:02,14.30
3/11/2022,17:18:07,14.30
3/11/2022,17:18:12,14.30
3/11/2022,17:18:17,14.30
3/11/2022,17:18:22,14.30
3/11/2022,17:18:27,14.30
3/11/2022,17:18:32,14.30
3/11/2022,17:18:37,14.30
3/11/2022,17:18:42,14.30
3/11/2022,17:18:47,14.30
3/11/2022,17:18:52,14.30
3/11/2022,17:18:57,14.30
3/11/2022,17:19:02,14.30
3/11/2022,17:19:07,14.30
3/11/2022,17:19:12,14.30
3/11/2022,17:19:17,14.30
3/11/2022,17:19:22,14.30
3/11/2022,17:19:27,14.30
3/11/2022,17:19:32,14.30
3/11/2022,17:19:37,14.30
3/11/2022,17:19:42,14.30
3/11/2022,17:19:47,14.30
3/11/2022,17:19:52,14.30
3/11/2022,17:19:57,14.30
3/11/2022,17:20:02,14.30
3/11/2022,17:20:07,14.30
3/11/2022,17:20:12,14.30
3/11/2022,17:20:17,14.30
3/11/2022,17:20:22,14.30
3/11/2022,17:20:27,14.30
3/11/2022,17:20:32,14.30
3/11/2022,17:20:37,14.30
3/11/2022,17:20:42,14.30
3/11/2022,17:20:47,14.30
3/11/2022,17:20:52,14.30
3/11/2022,17:20:57,14.30
3/11/2022,17:21:02,14.30
3/11/2022,17:21:07,14.30
3/11/2022,17:21:12,14.30
3/11/2022,17:21:17,14.30
3/11/2022,17:21:22,14.30
3/11/2022,17:21:27,14.30
3/11/2022,17:21:32,14.30
3/11/2022,17:21:37,14.30
3/11/2022,17:21:42,14.30
3/11/2022,17:21:47,14.30
3/11/2022,17:21:52,14.30
3/11/2022,17:21:57,14.30
3/11/2022,17:22:02,14.30
3/11/2022,17:22:07,14.30
3/11/2022,17:22:12,14.30
3/11/2022,17:22:17,14.30
3/11/2022,17:22:22,14.30
3/11/2022,17:22:27,14.30
3/11/2022,17:22:32,14.30
3/11/2022,17:22:37,14.30
3/11/2022,17:22:42,14.30
3/11/2022,17:22:47,14.30
3/11/2022,17:22:52,14.30
3/11/2022,17:22:57,14.30
3/11/2022,17:23:02,14.30
3/11/2022,17:23:07,14.30
3/11/2022,17:23:12,14.30
3/11/2022,17:23:17,14.30
3/11/2022,17:23:22,14.30
3/11/2022,17:23:27,14.30
3/11/2022,17:23:32,14.30
3/11/2022,17:23:37,14.30
3/11/2022,17:23:42,14.30
3/11/2022,17:23:47,14.30
3/11/2022,17:23:52,14.30
3/11/2022,17:23:57,14.30
3/11/2022,17:24:02,14.30
3/11/2022,17:24:07,14.30
3/11/2022,17:24:12,14.30
3/11/2022,17:24:17,14.30
3/11/2022,17:24:22,14.30
3/11/2022,17:24:27,14.30
3/11/2022,17:24:32,14.30
3/11/2022,17:24:37,14.30
3/11/2022,17:24:42,14.30
3/11/2022,17:24:47,14.30
3/11/2022,17:24:52,14.30
3/11/2022,17:24:57,14.30
3/11/2022,17:25:02,14.30
3/11/2022,17:25:07,14.30
3/11/2022,17:25:12,14.30
3/11/2022,17:25:17,14.30
3/11/2022,17:25:22,14.30
3/11/2022,17:25:27,14.30
3/11/2022,17:25:32,14.30
3/11/2022,17:25:37,14.30
3/11/2022,17:25:42,14.30
3/11/2022,17:25:47,14.30
3/11/2022,17:25:52,14.30
3/11/2022,17:25:57,14.30
3/11/2022,17:26:02,14.30
3/11/2022,17:26:07,14.30
3/11/2022,17:26:12,14.30
3/11/2022,17:26:17,14.30
3/11/2022,17:26:22,14.30
3/11/2022,17:26:27,14.30
3/11/2022,17:26:32,14.30
3/11/2022,17:26:37,14.30
3/11/2022,17:26:42,14.30
3/11/2022,17:26:47,14.30
3/11/2022,17:26:52,14.30
3/11/2022,17:26:57,14.30
3/11/2022,17:27:02,14.30
3/11/2022,17:27:07,14.30
3/11/2022,17:27:12,14.30
3/11/2022,17:27:17,14.30
3/11/2022,17:27:22,14.30
3/11/2022,17:27:27,14.30
3/11/2022,17:27:32,14.30
3/11/2022,17:27:37,14.30
3/11/2022,17:27:42,14.30
3/11/2022,17:27:47,14.30
3/11/2022,17:27:52,14.30
3/11/2022,17:27:57,14.30
3/11/2022,17:28:02,14.30
3/11/2022,17:28:07,14.30
3/11/2022,17:28:12,14.30
3/11/2022,17:28:17,14.30
3/11/2022,17:28:22,14.30
3/11/2022,17:28:27,14.30
3/11/2022,17:28:32,14.30
3/11/2022,17:28:37,14.30
3/11/2022,17:28:42,14.30
3/11/2022,17:28:47,14.30
3/11/2022,17:28:52,14.30
3/11/2022,17:28:57,14.30
3/11/2022,17:29:02,14.30
3/11/2022,17:29:07,14.30
3/11/2022,17:29:12,14.30
3/11/2022,17:29:17,14.30
3/11/2022,17:29:22,14.30
3/11/2022,17:29:27,14.30
3/11/2022,17:29:32,14.30
3/11/2022,17:29:37,14.30
3/11/2022,17:29:42,14.30
3/11/2022,17:29:47,14.30
3/11/2022,17:29:52,14.30
3/11/2022,17:29:57,14.30
3/11/2022,17:30:02,14.30
3/11/2022,17:30:07,14.30
3/11/2022,17:30:12,14.30
3/11/2022,17:30:17,14.30
3/11/2022,17:30:22,14.30
3/11/2022,17:30:27,14.30
3/11/2022,17:30:32,14.30
3/11/2022,17:30:37,14.30
3/11/2022,17:30:42,14.30
3/11/2022,17:30:47,14.30
3/11/2022,17:30:52,14.30
3/11/2022,17:30:57,14.30
3/11/2022,17:31:02,14.30
3/11/2022,17:31:07,14.30
3/11/2022,17:31:12,14.30
3/11/2022,17:31:17,14.30
3/11/2022,17:31:22,14.30
3/11/2022,17:31:27,14.30
3/11/2022,17:31:32,14.30
3/11/2022,17:31:37,14.30
3/11/2022,17:31:42,14.30
3/11/2022,17:31:47,14.30
3/11/2022,17:31:52,14.30
3/11/2022,17:31:57,14.30
3/11/2022,17:32:02,14.30
3/11/2022,17:32:07,14.30
3/11/2022,17:32:12,14.30
3/11/2022,17:32:17,14.30
3/11/2022,17:32:22,14.30
3/11/2022,17:32:27,14.30
3/11/2022,17:32:32,14.30
3/11/2022,17:32:37,14.30
3/11/2022,17:32:42,14.30
3/11/2022,17:32:47,14.30
3/11/2022,17:32:52,14.30
3/11/2022,17:32:57,14.30
3/11/2022,17:33:02,14.30
3/11/2022,17:33:07,14.30
3/11/2022,17:33:12,14.30
3/11/2022,17:33:17,14.30
3/11/2022,17:33:22,14.30
3/11/2022,17:33:27,14.30
3/11/2022,17:33:32,14.30
3/11/2022,17:33:37,14.30
3/11/2022,17:33:42,14.30
3/11/2022,17:33:47,14.30
3/11/2022,17:33:52,14.30
3/11/2022,17:33:57,14.30
3/11/2022,17:34:02,14.30
3/11/2022,17:34:07,14.30
3/11/2022,17:34:12,14.30
3/11/2022,17:34:17,14.30
3/11/2022,17:34:22,14.30
3/11/2022,17:34:27,14.30
3/11/2022,17:34:32,14.30
3/11/2022,17:34:37,14.30
3/11/2022,17:34:42,14.30
3/11/2022,17:34:47,14.30
3/11/2022,17:34:52,14.30
3/11/2022,17:34:57,14.30
3/11/2022,17:35:02,14.30
3/11/2022,17:35:07,14.30
3/11/2022,17:35:12,14.30
3/11/2022,17:35:17,14.30
3/11/2022,17:35:22,14.30
3/11/2022,17:35:27,14.30
3/11/2022,17:35:32,14.30
3/11/2022,17:35:37,14.30
3/11/2022,17:35:42,14.30
3/11/2022,17:35:47,14.30
3/11/2022,17:35:52,14.30
3/11/2022,17:35:57,14.30
3/11/2022,17:36:02,14.30
3/11/2022,17:36:07,14.30
3/11/2022,17:36:12,14.30
3/11/2022,17:36:17,14.30
3/11/2022,17:36:22,14.30
3/11/2022,17:36:27,14.30
3/11/2022,17:36:32,14.30
3/11/2022,17:36:37,14.30
3/11/2022,17:36:42,14.30
3/11/2022,17:36:47,14.30
3/11/2022,17:36:52,14.30
3/11/2022,17:36:57,14.30
3/11/2022,17:37:02,14.30
